,Date,Low,High,Close,Open
6207,2024-07-05,125.68,128.85,125.83,127.38
6206,2024-07-03,121.36,128.28,128.28,121.66
6205,2024-07-02,121.03,123.41,122.67,121.13
6204,2024-07-01,118.83,124.84,124.3,123.47
6203,2024-06-28,122.75,127.71,123.54,124.58
6202,2024-06-27,122.92,126.41,123.99,124.1
6201,2024-06-26,122.6,128.12,126.4,126.13
6200,2024-06-25,119.32,126.5,126.09,121.2
6199,2024-06-24,118.04,124.46,118.11,123.24
6198,2024-06-21,124.3,130.63,126.57,127.12
6197,2024-06-20,129.52,140.76,130.78,139.8
6196,2024-06-18,130.69,136.33,135.58,131.14
6195,2024-06-17,129.58,133.73,130.98,132.99
6194,2024-06-14,128.32,132.84,131.88,129.96
6193,2024-06-13,127.16,129.8,129.61,129.39
6192,2024-06-12,122.57,126.88,125.2,123.06
6191,2024-06-11,118.74,122.87,120.91,121.77
6190,2024-06-10,117.01,123.1,121.79,120.37
6189,2024-06-07,1180.22,1216.9171,1208.88,1197.7
6188,2024-06-06,1183.2,1255.87,1209.98,1240.48
6187,2024-06-05,1174.68,1224.495,1224.4,1183.71
6186,2024-06-04,1140.45,1166.0,1164.37,1157.16
6185,2024-06-03,1120.03,1150.0,1150.0,1136.21
6184,2024-05-31,1069.4,1127.17,1096.33,1125.2
6183,2024-05-30,1096.63,1158.1915,1105.0,1146.5
6182,2024-05-29,1109.01,1154.92,1148.25,1130.5
6181,2024-05-28,1098.83,1149.39,1139.01,1102.44
6180,2024-05-24,1030.0,1064.75,1064.69,1044.49
6179,2024-05-23,1015.2,1063.2,1037.99,1020.28
6178,2024-05-22,932.49,960.2,949.5,954.59
6177,2024-05-21,931.8,954.0,953.86,935.99
6176,2024-05-20,934.4,952.0,947.8,937.5
6175,2024-05-17,918.06,947.4,924.79,943.69
6174,2024-05-16,941.03,958.1899,943.59,949.1
6173,2024-05-15,915.99,948.62,946.3,924.72
6172,2024-05-14,889.34,916.51,913.56,895.99
6171,2024-05-13,885.29,909.98,903.99,904.78
6170,2024-05-10,892.27,914.01,898.78,903.045
6169,2024-05-09,882.31,910.72,887.47,905.29
6168,2024-05-08,894.2,911.94,904.12,894.825
6167,2024-05-07,890.11,917.8099,905.54,910.98
6166,2024-05-06,890.55,922.2,921.4,893.9
6165,2024-05-03,870.4,892.81,887.89,877.89
